Total Return,CAGR,Ann Vol,Sharpe,Max Drawdown,Trades,Hit Rate,Avg Hold Days,Data Points,train_start,train_end,test_start,test_end
-0.062453584695161934,-0.06293715148695855,0.04044572314515719,-1.5868632711231694,-0.06660101700546084,34,0.44,10.705882352941176,250,2010-01-04,2012-01-03,2012-01-04,2013-01-03
-0.03565731254998039,-0.03579680005799668,0.011599378568062816,-3.136681245770022,-0.036218538713820636,48,0.450199203187251,7.520833333333333,251,2011-01-04,2013-01-03,2013-01-04,2014-01-03
-0.02828407922157905,-0.02850709569955434,0.029975515112979245,-0.9498504222198138,-0.06047222110361339,34,0.464,10.588235294117647,250,2012-01-04,2014-01-03,2014-01-04,2015-01-03
-0.24299055346688536,-0.24467456516589503,0.08334143476544054,-3.32353043508669,-0.25250188863532197,47,0.408,7.638297872340425,250,2013-01-04,2015-01-03,2015-01-04,2016-01-03
-0.02780056279039478,-0.02780056279039478,0.033693736530212105,-0.8199669745832173,-0.05255169095009593,27,0.44841269841269843,13.481481481481481,252,2014-01-04,2016-01-03,2016-01-04,2017-01-03
-0.02454053207594653,-0.024637088728380552,0.014414002886537557,-1.7233897755980616,-0.03595995861139667,30,0.44621513944223107,12.1,251,2015-01-04,2017-01-03,2017-01-04,2018-01-03
-0.046365492975548595,-0.046727613044000194,0.037407723276633484,-1.2605140573940379,-0.06476913493999947,31,0.464,11.709677419354838,250,2016-01-04,2018-01-03,2018-01-04,2019-01-03
-0.015617466331956265,-0.01567919696139719,0.02359357910388737,-0.658050467070175,-0.0183007797924567,22,0.4701195219123506,16.40909090909091,251,2017-01-04,2019-01-03,2019-01-04,2020-01-03
1.3088702477865959,1.3243778256463714,1.3557740943701706,1.2942008044697697,-0.7422734692917095,23,0.52,15.608695652173912,250,2018-01-04,2020-01-03,2020-01-04,2021-01-03
-0.06097825325324413,-0.06097825325324413,0.07729917660797875,-0.7753199746671693,-0.08366638682389871,47,0.4801587301587302,7.723404255319149,252,2019-01-04,2021-01-03,2021-01-04,2022-01-03
-0.01894838492219486,-0.019098515190089427,0.1344593322568625,-0.07635605746723949,-0.08298166355069758,30,0.516,12.1,250,2020-01-04,2022-01-03,2022-01-04,2023-01-03
4.595091255441587,4.672697584277955,1.933850147307707,1.8512010158555487,-0.7690034659783576,22,0.552,16.5,250,2021-01-04,2023-01-03,2023-01-04,2024-01-03
0.029457451750940056,0.02957653084422618,0.0473876542941308,0.6387116354917428,-0.034635071639804615,29,0.5139442231075697,12.551724137931034,251,2022-01-04,2024-01-03,2024-01-04,2025-01-03
