Total Return,CAGR,Ann Vol,Sharpe,Max Drawdown,Trades,Hit Rate,Avg Hold Days,Data Points,train_start,train_end,test_start,test_end,regime_label
0.011554625319030398,0.011742080175675351,0.014383142390625282,0.8188011697818172,-0.01035835456613532,2,0.4888888888888889,,248,2010-05-27,2012-05-26,2012-05-27,2013-05-26,mean-revert
0.0013918411619975313,0.0014029836985796074,0.01880402792292981,0.08391992712741099,-0.022417226843989835,6,0.4790697674418605,,250,2011-05-27,2013-05-26,2013-05-27,2014-05-26,mean-revert
-0.038095991277901864,-0.03824482814648744,0.03716662903147093,-1.030631059490301,-0.04368053896284474,0,0.43824701195219123,,251,2012-05-27,2014-05-26,2014-05-27,2015-05-26,mean-revert
-0.017428201864554405,-0.017359917117581225,0.055541311182930556,-0.2876169237296806,-0.06630967349305028,0,0.48221343873517786,,253,2013-05-27,2015-05-26,2015-05-27,2016-05-26,mean-revert
0.017501714798439316,0.01757205182725552,0.038041306346074374,0.4768692922818435,-0.059524411182394266,21,0.5617529880478087,,251,2014-05-27,2016-05-26,2016-05-27,2017-05-26,trend
-0.05072045102464784,-0.051115663557667945,0.03234132257583281,-1.606064327837361,-0.062126466707365324,0,0.408,,250,2015-05-27,2017-05-26,2017-05-27,2018-05-26,mean-revert
-0.02357112565388786,-0.023851701212962984,0.07255984652085302,-0.2965971019089567,-0.09208446181917085,0,0.4538152610441767,,249,2016-05-27,2018-05-26,2018-05-27,2019-05-26,mean-revert
0.0,0.0,0.0,,0.0,0,,,251,2017-05-27,2019-05-26,2019-05-27,2020-05-26,neutral
-0.06332031659419957,-0.06332031659419957,0.07167339136751252,-0.8768226417376981,-0.10607924266386137,36,0.4722222222222222,,252,2018-05-27,2020-05-26,2020-05-27,2021-05-26,trend
0.0,0.0,0.0,,0.0,0,,,252,2019-05-27,2021-05-26,2021-05-27,2022-05-26,neutral
0.0,0.0,0.0,,0.0,0,,,250,2020-05-27,2022-05-26,2022-05-27,2023-05-26,neutral
